prenom,n_f,n_m
IZANDRO,0,5
IZAO,0,250
IZAORA,5,0
IZAR,0,5
IZAURA,15,0
IZAYA,80,165
IZAYAH,10,125
IZAYAS,0,20
IZDINE,0,5
IZE,5,0
IZEA,55,0
IZEE,15,0
IZEI,0,10
IZEL,205,0
IZELIA,5,0
IZELYA,5,0
IZEM,15,125
IZET,0,5
IZHAAC,0,35
IZHAAK,0,5
IZHAAN,0,45
IZHAC,0,155
IZHAK,0,210
IZHAN,0,5
IZHAQ,0,255
IZIA,4710,0
IZIAH,20,10
IZIANA,25,0
IZIANO,0,10
IZIE,85,0
IZILD,5,0
IZILDA,20,0
IZIO,0,10
IZIS,5,0
IZIYA,10,0
IZNA,5,0
IZOENE,10,0
IZOENN,40,0
IZOLD,5,0
IZORA,5,0
IZRA,10,0
IZRI,0,5
IZUMI,15,0
IZY,70,0
IZYA,270,0
IZYAAN,0,10
IZYAH,5,0
IZYAN,0,55
IZYANE,0,5
IZYS,5,0
IZZA,220,0
IZZAH,25,0
IZZET,0,90
IZZIE,285,0
IZZY,155,0
JA,0,5
JAAD,10,115
JAADE,25,0
JAAFAR,0,210
JAALI,0,5
JAANA,5,0
JAASON,0,5
JABAL,0,15
JABARI,0,40
JABARY,0,10
JABER,0,235
JABIER,0,20
JABIR,0,170
JABRAIL,0,5
JABRAN,0,15
JABRANE,0,65
JABRIL,0,10
JAC,0,5
JACE,0,45
JACEM,0,75
JACEN,0,10
JACER,0,20
JACIM,0,65
JACINTA,210,0
JACINTE,15,0
JACINTHA,15,0
JACINTHE,815,0
JACINTO,0,155
JACK,0,14470
JACKI,0,2645
JACKIE,1440,17975
JACKIES,0,35
JACKLINE,5,0
JACKS,0,10
JACKSON,0,935
JACKY,65,69155
JACKYE,10,30
JACOB,75,3930
JACOBINE,10,0
JACOPO,0,25
JACOTTE,30,0
JACQ,0,15
JACQUE,0,190
JACQUELIN,0,290
JACQUELINA,10,0
JACQUELINE,372420,5
JACQUELLINE,5,0
JACQUELYN,5,0
JACQUEMINE,60,0
JACQUEMINETTE,15,0
JACQUES,125,483350
JACQUES-ALAIN,0,5
JACQUES-ALEXANDRE,0,60
JACQUES-ANDRE,0,55
JACQUES-ANTOINE,0,175
JACQUES-EDOUARD,0,15
JACQUES-EMMANUEL,0,20
JACQUES-FRANCOIS,0,15
JACQUES-HENRI,0,110
JACQUES-HENRY,0,5
JACQUES-LOUIS,0,5
JACQUES-MARIE,0,40
JACQUES-MICHEL,0,5
JACQUES-OLIVIER,0,340
JACQUES-PHILIPPE,0,5
JACQUES-PIERRE,0,20
JACQUES-YVES,0,145
JACQUETTE,60,0
JACQUI,0,940
JACQUIE,75,915
JACQUIES,0,30
JACQUINE,15,0
JACQUIS,0,140
JACQUIT,0,60
JACQUOT,0,5
JACQUOTTE,5,0
JACQUY,0,2055
JACYNTHE,10,0
JAD,105,4250
JADA,280,0
JADAH,10,0
JADALLAH,0,5
JADD,0,20
JADDEN,0,30
JADE,110315,295
JADEM,0,5
JADEN,60,2080
JADENE,45,0
JADENN,5,50
JADEYN,0,10
JADHE,20,0
JADHEN,0,5
JADIEL,0,15
JADON,0,30
JADOR,0,45
JADRANKA,15,0
JADWA,5,0
JADWIGA,320,0
JADZIA,5,0
JAE,0,10
JAEDEN,0,85
JAEL,445,360
JAELIE,5,0
JAELLE,330,0
JAELLY,20,0
JAELY,25,0
JAELYN,20,0
JAELYS,185,0
JAESON,0,5
JAFAR,0,105
JAFFAR,0,25
JAGGER,0,5
JAGODA,5,0
JAH,0,5
JAHA,5,0
JAHAN,0,65
JAHDA,5,0
JAHDE,110,0
JAHDEN,5,265
JAHDIEL,0,5
JAHE,0,5
JAHED,0,185
JAHEED,0,5
JAHEEM,0,45
JAHEENA,5,0
JAHEIM,0,130
JAHEL,10,340
JAHELI,0,5
JAHELIE,5,0
JAHELLE,35,0
JAHELLY,10,0
JAHELY,30,20
JAHELYA,10,0
JAHELYS,15,0
JAHI,0,10
JAHIA,170,0
JAHIAN,0,10
JAHID,0,710
JAHIDA,160,0
JAHIEM,0,15
JAHIL,0,10
JAHILANN,0,5
JAHILEY,0,20
JAHIM,0,40
JAHIN,0,5
JAHINA,235,0
JAHINNA,5,0
JAHIS,0,10
JAHLAN,0,30
JAHLANN,0,15
JAHLEEL,0,40
JAHLEN,0,15
JAHLIA,60,0
JAHLIL,0,90
JAHLINA,5,0
JAHLIYA,15,0
JAHLY,0,15
JAHLYA,120,0
JAHLYAN,0,10
JAHLYL,0,5
JAHLYNA,5,0
JAHLYS,25,5
JAHLYSSA,5,0
JAHMAEL,0,30
JAHMAL,0,40
JAHMAN,0,5
JAHMANI,0,5
JAHMIEL,0,10
JAHMY,0,5
JAHNA,45,0
JAHNAE,10,0
JAHNAEL,0,190
JAHNAELLE,125,0
JAHNAIS,5,0
JAHNAYA,20,0
JAHNEL,5,15
JAHNELIA,5,0
JAHNELLA,5,0
JAHNELLE,35,0
JAHNELLY,5,0
JAHNELYA,10,0
JAHNI,0,5
JAHNIS,0,15
JAHNNY,0,5
JAHNY,0,5
JAHNYS,0,30
JAHNYSSA,5,0
JAHO,0,25
JAHREL,0,5
JAHREN,0,5
JAHROD,0,40
JAHRON,0,30
JAHWAN,0,15
JAHWAYNE,0,5
JAHWEL,0,10
JAHWEN,0,60
JAHYA,205,0
JAHYAH,55,0
JAHYAN,0,665
JAHYANA,160,0
JAHYANE,10,5
JAHYANN,0,375
JAHYANNA,55,0
JAHYD,0,10
JAHYDEN,0,125
JAHYDON,0,5
JAHYLAN,0,35
JAHYLANN,0,15
JAHYNA,120,0
JAHYRON,0,50
JAHYRONN,0,5
JAHYS,0,15
JAHZARA,5,0
JAI,0,20
JAIA,85,0
JAIAH,5,0
JAIAN,0,70
JAIANA,5,0
JAID,0,85
JAIDA,95,0
JAIDEN,0,185
JAIDENN,0,5
JAIFA,5,0
JAIL,0,5
JAILAN,0,40
JAILANN,0,10
JAILEY,0,5
JAILY,30,0
JAILYNE,5,0
JAILYS,225,0
JAILYSS,5,0
JAIME,0,1000
JAIMIE,145,30
JAIMY,0,250
JAINA,435,0
JAINAH,15,0
JAIR,0,45
JAIRA,10,0
JAIRO,0,170
JAIRON,0,20
JAIRUS,0,20
JAIS,0,115
JAISON,0,145
JAISS,0,10
JAIVYN,0,5
JAIWAN,0,5
JAIZY,0,5
JAK,0,85
JAKE,0,295
JAKEZ,0,25
JAKI,0,200
JAKIE,0,255
JAKLINA,5,0
JAKOB,0,90
JAKOV,0,20
JAKSON,0,20
JAKUB,0,160
JAKY,0,825
JALA,5,0
JALAL,0,680
JALALE,0,30
JALAN,0,15
JALANE,235,0
JALE,20,0
JALEEL,0,80
JALEES,0,5
JALEEYAH,5,0
JALEL,0,230
JALEN,0,95
JALI,0,10
JALIA,290,0
JALIAH,10,0
JALICIA,5,0
JALIL,0,1645
JALILA,540,0
JALILAH,10,0
JALINE,10,0
JALIS,0,325
JALIYA,30,0
JALIYAH,85,0
JALLAL,0,160
JALLEL,0,35
JALLIL,0,40
JALLILA,15,0
JALNA,5,0
JALWAN,0,10
JALYA,115,0
JALYAH,25,0
JALYL,0,10
JALYS,5,120
JALYSSA,10,0
JAMAA,0,5
JAMAAL,0,45
JAMAEL,0,15
JAMAL,0,3415
JAMALE,0,120
JAMALL,0,15
JAME,0,70
JAMEL,0,4425
JAMELA,190,0
JAMELDINE,0,5
JAMELE,0,15
JAMELIA,70,0
JAMELL,0,5
JAMELLA,20,0
JAMELLE,0,5
JAMES,20,27775
JAMESLEY,0,25
JAMESLY,0,5
JAMESON,0,85
JAMESY,0,5
JAMI,0,80
JAMICE,0,30
JAMIE,135,610
JAMIE-LEE,50,0
JAMIE-LYNN,20,0
JAMIEL,0,5
JAMIL,0,840
JAMILA,5210,0
JAMILAH,20,0
JAMILLA,175,0
JAMILY,5,0
JAMIN,0,15
JAMINA,65,0
JAMISON,0,15
JAMMEL,0,20
JAMMES,0,70
JAMMY,0,35
JAMS,0,5
JAMSY,0,5
JAMY,5,555
JAMYL,0,25
JAMYSON,0,5
JAMYSSON,0,5
JAN,0,1715
JAN-MICHAEL,0,5
JANA,5355,0
JANAA,100,0
JANADE,10,0
JANAE,90,0
JANAEL,10,45
JANAELLE,230,0
JANAH,315,0
JANAINA,65,0
JANAIS,30,0
JANANE,140,0
JANANI,20,0
JANANY,5,0
JANAT,135,0
JANATE,55,0
JANAYA,40,0
JANAYAH,20,0
JANDAL,0,5
JANE,8585,0
JANE-MARIE,30,0
JANEA,20,0
JANEK,0,20
JANEL,220,15
JANELE,35,0
JANELIA,5,0
JANELIE,5,0
JANELL,30,0
JANELLA,20,0
JANELLE,2350,0
JANELLYA,5,0
JANELY,5,0
JANELYA,35,0
JANELYS,5,0
JANESSA,10,0
JANET,325,0
JANETE,5,0
JANETTE,490,0
JANIA,10,0
JANIC,40,55
JANICE,1075,5
JANICK,2200,1915
JANICKE,5,0
JANIE,850,0
JANIG,45,0
JANIK,260,190
JANINA,1645,0
JANINE,68630,0
JANINNE,30,0
JANIQUE,1465,0
JANIS,885,500
JANISSA,5,0
JANISSE,25,0
JANIYAH,5,0
JANKA,20,0
JANKO,0,10
JANN,15,0
JANNA,4715,0
JANNAH,4115,0
JANNAT,865,0
JANNATE,150,0
JANNATTE,5,0
JANNATUL,10,0
JANNE,175,0
JANNET,65,0
JANNETTE,20,0
JANNIC,5,20
JANNICE,20,0
JANNICK,1525,1230
JANNIE,255,0
JANNIK,55,25
JANNINA,25,0
JANNINE,910,0
JANNIQUE,30,0
JANNIS,0,5
JANNOT,0,10
JANNY,555,395
JANO,0,15
JANOS,0,10
JANOSCH,0,5
JANOT,0,60
JANUARIO,0,5
JANUSZ,0,10
JANVIER,0,465
JANY,2230,1630
JANYA,5,0
JANYCE,230,0
JANYNE,45,0
JANYS,40,65
JAO,0,200
JAOAD,0,5
JAOID,0,100
JAOIDE,0,30
JAOUA,0,5
JAOUAD,0,1235
JAOUADE,0,25
JAOUED,0,305
JAOUEN,0,375
JAOUHAR,0,30
JAOUIDA,5,0
JAPHET,0,145
JAQUELINE,35,0
JAQUES,0,15
JAQUI,0,5
JAQUY,0,10
JARA,45,0
JARDEL,0,10
JARED,0,470
JAREL,0,15
JARELL,0,70
JAREN,0,10
JARNO,0,75
JAROD,0,2945
JARODE,0,55
JAROLD,0,10
JARON,0,40
JAROSLAV,0,25
JAROSLAW,0,55
JARREN,0,5
JARROD,0,90
JARVIS,0,15
JASAI,0,5
JASEM,0,10
JASEMINA,5,0
JASHAN,0,5
JASIM,0,175
JASIN,0,40
JASLEEN,20,0
JASLYN,5,0
JASMA,5,0
JASMEE,50,0
JASMEEN,140,0
JASMIKA,5,0
JASMIN,160,850
JASMINA,520,0
JASMINE,11430,0
JASMONDE,55,0
JASMYN,5,0
JASMYNE,155,0
JASNA,40,0
JASON,0,21260
JASONE,0,5
JASPE,0,5
JASPER,0,185
JASRA,5,0
JASSEM,0,780
JASSER,0,210
JASSIM,0,3065
JASSIME,0,65
JASSIR,0,40
JASSIRA,5,0
JASSMINE,30,0
JASSYM,0,105
JASTIN,0,5
JASWIN,0,5
JAUFFRAY,0,25
JAUFFRET,0,10
JAUFFREY,0,235
JAUFRE,0,35
JAUFRET,0,50
JAUFREY,0,10
JAUME,0,45
JAURES,0,110
JAURIS,0,115
JAVA,15,0
JAVAD,0,5
JAVED,0,5
JAVIEL,0,5
JAVIER,0,890
JAVOTTE,30,0
JAWAD,0,3900
JAWADE,0,45
JAWAHER,25,0
JAWAHIR,5,0
JAWAL,0,5
JAWAN,0,20
JAWDAN,0,15
JAWED,0,1660
JAWEL,0,50
JAWEN,0,155
JAWHAR,0,55
JAWHARA,80,0
JAWIDA,5,0
JAWWAD,0,5
JAX,0,60
JAXON,0,25
JAXSON,0,10
JAY,30,395
JAY-Z,0,15
JAYA,640,30
JAYAAN,0,5
JAYAH,50,0
JAYAN,0,530
JAYANA,145,0
JAYANAH,40,0
JAYANE,20,10
JAYANI,30,0
JAYANN,0,245
JAYANNA,40,0
JAYANNAH,5,0
JAYANT,0,5
JAYANTI,15,0
JAYCE,20,390
JAYCEE,45,10
JAYCEON,0,5
JAYCK,0,5
JAYD,0,5
JAYDA,105,0
JAYDAE,5,0
JAYDAN,0,70
JAYDE,5,0
JAYDEN,130,5860
JAYDENN,0,65
JAYDHEN,0,5
JAYDON,0,110
JAYDONE,0,5
JAYEN,0,20
JAYHAN,0,35
JAYHLAN,0,5
JAYKE,0,40
JAYLA,70,0
JAYLAH,10,0
JAYLAM,0,5
JAYLAN,0,340
JAYLANE,10,0
JAYLANI,0,15
JAYLANN,0,125
JAYLEE,90,5
JAYLEEN,75,0
JAYLEN,0,225
JAYLI,5,0
JAYLIAH,15,0
JAYLIAN,0,25
JAYLIE,40,0
JAYLINA,10,0
JAYLINE,75,0
JAYLINN,5,0
JAYLIS,15,0
JAYLISSA,10,0
JAYLON,0,65
JAYLONE,0,5
JAYLONN,0,5
JAYME,0,5
JAYMEE,0,10
JAYMES,0,30
JAYMI,0,110
JAYMIE,35,90
JAYMY,0,10
JAYNA,200,0
JAYNAEL,0,10
JAYNAELLE,5,0
JAYNAH,20,0
JAYNE,95,0
JAYNI,5,0
JAYNICE,5,0
JAYNNA,5,0
JAYRICK,0,5
JAYRO,0,10
JAYRON,0,130
JAYRONN,0,20
JAYSAN,0,5
JAYSON,0,2980
JAYSONE,0,5
JAYSONN,0,5
JAYSSIM,0,20
JAYSSON,0,15
JAYVAN,0,5
JAYVIN,0,15
JAYWAN,0,5
JAYWEN,0,50
JAYWENN,0,5
JAYZIE,5,0
JAYZON,0,5
JAYZY,0,5
JAZE,10,0
JAZIA,125,0
JAZIEL,0,5
JAZIL,0,50
JAZMINE,10,0
JAZON,0,40
JAZZ,435,205
JEACQUES,0,35
JEAN,530,1910275
JEAN-ADRIEN,0,105
JEAN-AIME,0,50
JEAN-ALAIN,0,775
JEAN-ALBERT,0,445
JEAN-ALDO,0,5
JEAN-ALEX,0,35
JEAN-ALEXANDRE,0,440
JEAN-ALEXIS,0,175
JEAN-ALFRED,0,25
JEAN-ALIX,0,20
JEAN-ANDRE,0,860
JEAN-ANTHONY,0,25
JEAN-ANTOINE,0,950
JEAN-ANTONIO,0,10
JEAN-ARMAND,0,20
JEAN-ARMEL,0,5
JEAN-ARNAUD,0,115
JEAN-ARTHUR,0,45
JEAN-AUGUSTE,0,40
JEAN-AUGUSTIN,0,5
JEAN-AURELIEN,0,15
JEAN-AXEL,0,10
JEAN-BAPTISTE,65,49215
JEAN-BASILE,0,5
JEAN-BASTIEN,0,135
JEAN-BENOIT,0,1235
JEAN-BERNARD,0,8910
JEAN-BERTRAND,0,165
JEAN-BLAISE,0,20
JEAN-BOSCO,0,15
JEAN-BRIAC,0,25
JEAN-BRICE,0,380
JEAN-BRUNO,0,300
JEAN-CAMILLE,0,240
JEAN-CARL,0,10
JEAN-CARLO,0,50
JEAN-CARLOS,0,50
JEAN-CAROL,0,5
JEAN-CEDRIC,0,140
JEAN-CHARLES,0,19465
JEAN-CHRIST,0,5
JEAN-CHRISTIAN,0,1285
JEAN-CHRISTOPHE,0,32105
JEAN-CHRISTOPHER,0,65
JEAN-CHRYSOSTOME,0,5
JEAN-CLAIR,0,55
JEAN-CLAUDE,0,174235
JEAN-CLEMENT,0,215
JEAN-COME,0,115
JEAN-CYRIL,0,125
JEAN-CYRILLE,0,125
JEAN-DAMIEN,0,460
JEAN-DANIEL,0,2930
JEAN-DANY,0,65
JEAN-DAVID,0,1575
JEAN-DAVY,0,5
JEAN-DENIS,0,2165
JEAN-DENYS,0,10
JEAN-DIDIER,0,420
JEAN-DOMINIQUE,0,1560
JEAN-DYLAN,0,5
JEAN-EDDY,0,45
JEAN-EDERN,0,5
JEAN-EDMOND,0,25
JEAN-EDOUARD,0,495
JEAN-ELIE,0,290
JEAN-EMILE,0,265
JEAN-EMILIEN,0,5
JEAN-EMMANUEL,0,1250
JEAN-ENZO,0,5
JEAN-ERIC,0,910
JEAN-ERICK,0,5
JEAN-ETIENNE,0,615
JEAN-EUDES,0,575
JEAN-EUGENE,0,35
JEAN-EVAN,0,5
JEAN-FABIEN,0,160
JEAN-FABRICE,0,335
JEAN-FELIX,0,370
JEAN-FERDINAND,0,5
JEAN-FERNAND,0,40
JEAN-FLAVIEN,0,10
JEAN-FLORENT,0,85
JEAN-FLORIAN,0,20
JEAN-FRANCIS,0,535
JEAN-FRANCK,0,110
JEAN-FRANCO,0,30
JEAN-FRANCOIS,0,100070
JEAN-FRED,0,315
JEAN-FREDDY,0,15
JEAN-FREDERIC,0,970
JEAN-GABRIEL,0,1560
JEAN-GAEL,0,110
JEAN-GASTON,0,15
JEAN-GEORGES,0,715
JEAN-GERALD,0,15
JEAN-GERARD,0,270
JEAN-GIL,0,5
JEAN-GILBERT,0,65
JEAN-GILLES,0,380
JEAN-GREGOIRE,0,35
JEAN-GUILHEM,0,25
JEAN-GUILLAUME,0,875
JEAN-GUSTAVE,0,5
JEAN-GUY,0,1665
JEAN-HABIB,0,5
JEAN-HARRY,0,10
JEAN-HENRI,0,560
JEAN-HENRY,0,10
JEAN-HERVE,0,300
JEAN-HUBERT,0,300
JEAN-HUGO,0,10
JEAN-HUGUES,0,1640
JEAN-IDRISS,0,10
JEAN-JACK,0,295
JEAN-JACQUES,0,54105
JEAN-JAMES,0,5
JEAN-JEROME,0,130
JEAN-JOEL,0,255
JEAN-JOSE,0,455
JEAN-JOSEPH,0,1665
JEAN-JULES,0,30
JEAN-JULIEN,0,215
JEAN-JUNIOR,0,10
JEAN-KARIM,0,5
JEAN-KARL,0,35
JEAN-KEVIN,0,50
JEAN-LAURENT,0,1250
JEAN-LEO,0,10
JEAN-LEON,0,195
JEAN-LIN,0,80
JEAN-LIONEL,0,75
JEAN-LOIC,0,370
JEAN-LOU,0,890
JEAN-LOUIS,0,80830
JEAN-LOUP,0,3795
JEAN-LUC,0,117805
JEAN-LUCAS,0,15
JEAN-LUCE,0,5
JEAN-LUCIEN,0,265
JEAN-LUDOVIC,0,65
JEAN-LUIS,0,10
JEAN-MAEL,0,15
JEAN-MALO,0,95
JEAN-MANUEL,0,900
JEAN-MARC,0,91100
JEAN-MARCEL,0,1100
JEAN-MARIE,0,86960
JEAN-MARIN,0,35
JEAN-MARIO,0,15
JEAN-MARIUS,0,75
JEAN-MARK,0,5
JEAN-MARTIAL,0,90
JEAN-MARTIN,0,190
JEAN-MARY,0,585
JEAN-MATHIAS,0,25
JEAN-MATHIEU,0,600
JEAN-MATHIS,0,15
JEAN-MATTHIEU,0,285
JEAN-MAURICE,0,1350
JEAN-MAX,0,1455
JEAN-MAXIME,0,400
JEAN-MICHAEL,0,125
JEAN-MICHEL,0,87000
JEAN-MICKAEL,0,215
JEAN-MIGUEL,0,15
JEAN-MIKAEL,0,15
JEAN-MOISE,0,10
JEAN-NATHAN,0,5
JEAN-NICOLAS,0,1030
JEAN-NOE,0,10
JEAN-NOEL,0,14920
JEAN-OLIVIER,0,350
JEAN-PAOLO,0,10
JEAN-PASCAL,0,4910
JEAN-PATRICE,0,475
JEAN-PATRICK,0,2330
JEAN-PAUL,0,88090
JEAN-PHILIP,0,35
JEAN-PHILIPPE,0,46040
JEAN-PIERRE,0,215420
JEAN-PIERROT,0,15
JEAN-POL,0,490
JEAN-RAOUL,0,50
JEAN-RAPHAEL,0,460
JEAN-RAYAN,0,5
JEAN-RAYMOND,0,845
JEAN-REGIS,0,165
JEAN-REMI,0,610
JEAN-REMY,0,745
JEAN-RENAUD,0,215
JEAN-RENE,0,4245
JEAN-RICHARD,0,420
JEAN-ROBERT,0,1790
JEAN-ROCH,0,440
JEAN-RODOLPHE,0,45
JEAN-ROGER,0,450
JEAN-ROLAND,0,185
JEAN-ROMAIN,0,270
JEAN-RUBEN,0,5
JEAN-RUDY,0,5
JEAN-SAMUEL,0,180
JEAN-SEBASTIEN,0,5220
JEAN-SERGE,0,190
JEAN-SIMON,0,135
JEAN-STANISLAS,0,10
JEAN-STEPHAN,0,5
JEAN-STEPHANE,0,450
JEAN-SYLVAIN,0,150
JEAN-SYLVESTRE,0,10
JEAN-THEOPHANE,0,5
JEAN-THIERRY,0,235
JEAN-THOMAS,0,420
JEAN-TOUSSAINT,0,45
JEAN-TRISTAN,0,15
JEAN-VALERE,0,20
JEAN-VALERY,0,35
JEAN-VIANNEY,0,20
JEAN-VICTOR,0,450
JEAN-VINCENT,0,835
JEAN-VIVIEN,0,5
JEAN-WILFRID,0,20
JEAN-WILFRIED,0,5
JEAN-WILLIAM,0,95
JEAN-WILLY,0,25
JEAN-WILSON,0,5
JEAN-XAVIER,0,225
JEAN-YANN,0,255
JEAN-YANNE,0,5
JEAN-YANNICK,0,35
JEAN-YANNIS,0,10
JEAN-YVES,0,37875
JEAN-YVON,0,80
JEANA,10,0
JEANE,385,0
JEANELLE,135,0
JEANETTE,305,0
JEANICE,35,0
JEANICK,135,180
JEANIE,185,0
JEANIK,0,10
JEANINA,135,0
JEANINE,49520,0
JEANINNE,305,0
JEANIQUE,30,0
JEANISE,10,0
JEANLOU,0,5
JEANNA,185,0
JEANNE,567320,55
JEANNE-ANTIDE,20,0
JEANNE-CHARLOTTE,15,0
JEANNE-CLAIRE,5,0
JEANNE-FRANCOISE,40,0
JEANNE-HELENE,10,0
JEANNE-LAURE,10,0
JEANNE-LISE,15,0
JEANNE-LOUISE,45,0
JEANNE-MARIE,3235,0
JEANNE-ROSE,20,0
JEANNE-SOPHIE,10,0
JEANNELLE,105,0
JEANNET,0,5
JEANNETTE,19695,0
JEANNIC,35,0
JEANNICE,50,0
JEANNICK,1285,775
JEANNIE,3050,0
JEANNIK,40,5
JEANNIL,0,5
JEANNILLE,10,0
JEANNINA,375,0
JEANNINE,218695,0
JEANNINNE,5,0
JEANNIQUE,35,0
JEANNISE,5,0
JEANNNE,5,0
JEANNOT,0,3065
JEANNOTTE,5,0
JEANNY,700,225
JEANNYNE,10,0
JEANOT,0,120
JEANPIERRE,0,30
JEANTY,0,25
JEANY,85,40
JEASON,0,150
JEBRAN,0,5
JEBRANE,0,5
JEBRIL,0,290
JEBRYL,0,5
JED,0,640
JEDE,0,5
JEDEN,0,30
JEDIAEL,0,5
JEDIDJA,5,10
JEDJIGA,5,0
JEEF,0,5
JEEVAN,0,75
JEF,0,115
JEFERSON,0,15
JEFF,0,1590
JEFFEREY,0,5
JEFFERSON,0,1635
JEFFERY,0,70
JEFFRAY,0,5
JEFFREY,0,2570
JEFFRY,0,95
JEFFY,0,5
JEHAN,5,1175
JEHANE,295,0
JEHANN,0,20
JEHANNE,1635,0
JEHANNINE,10,0
JEHIEL,0,60
JEHLANI,0,15
JEHNA,5,0
JEHRO,0,5
JEIDEN,0,5
JEIMY,0,5
JELALI,0,5
JELANI,10,535
JELANIE,5,0
JELANY,0,60
JELENA,600,0
JELICA,5,0
JELIL,0,5
JELILA,10,0
JELINA,30,0
JELIS,0,25
JELISSA,75,0
JELLAL,0,5
JELLOUL,0,25
JELLY,10,0
JELLYBEAN,5,0
JELSON,0,5
JELYNA,5,0
JELYSSA,25,0
JEM,0,10
JEMA,10,0
JEMAA,15,0
JEMAEL,0,35
JEMAL,0,10
JEMEL,0,95
JEMES,0,5
JEMIL,0,80
JEMILA,70,0
JEMIMA,475,0
JEMIMAH,10,0
JEMINA,100,0
JEMISON,0,10
JEMISSON,0,5
JEMMA,75,0
JEMMEL,0,5
JEMMIE,5,0
JEMMY,5,130
JEMS,0,10
JEMUEL,0,90
JEMY,0,65
JEMYSON,0,5
JEMYSSON,0,5
JEN,0,5
JENA,955,0
JENA-LEE,5,0
JENAA,5,0
JENAE,5,0
JENAEL,0,20
JENAELLE,25,0
JENAH,125,0
JENAHE,5,0
JENAHYA,5,0
JENAIA,5,0
JENAIAH,60,0
JENALEE,5,0
JENAN,5,0
JENANE,55,0
JENATHAN,0,10
JENAYA,60,0
JENAYAH,40,0
JENAYE,20,0
JENDAL,0,5
JENELLE,10,0
JENESIS,5,0
JENESSY,15,0
JENEVAH,5,0
JENIA,5,0
JENIE,5,0
JENIFER,1080,0
JENIFFER,5,0
JENILEE,5,0
JENINE,25,0
JENISHA,5,0
JENNA,8400,0
JENNAH,5065,0
JENNAT,30,0
JENNATE,15,0
JENNAYA,15,0
JENNIE,445,0
JENNIFER,65495,0
JENNIFFER,5,0
JENNILYN,5,0
JENNINE,5,0
JENNIPHER,5,0
JENNY,9730,15
JENNY-LEE,10,0
JENNY-LINE,5,0
JENNYFER,2955,0
JENNYLINE,5,0
JENNYPHER,15,0
JENO,0,5
JENS,0,55
JENSEN,0,85
JENSON,0,25
JENY,40,0
JENYFER,225,0
JEOFFRAY,0,30
JEOFFREY,0,1080
JEOFFROY,0,10
JEPHTE,0,75
JEPHTHE,0,15
JERED,0,5
JEREMI,0,1300
JEREMIAH,0,290
JEREMIAS,0,15
JEREMIE,35,31630
JEREMMY,0,5
JEREMY,0,134595
JEREMYA,0,5
JERENA,5,0
JERICHO,0,5
JERIEL,0,20
JERIKA,5,0
JEROEN,0,15
JEROME,205,208275
JEROMIA,5,0
JEROMINE,1110,0
JERON,0,5
JERONIMA,5,0
JERONIMO,0,105
JERROLD,0,5
JERRY,0,1590
JERRY-LEE,0,20
JERRYLINE,10,0
JERSEY,250,10
JERSON,0,15
JERY,0,15
JERZY,0,150
JESABEL,40,0
JESABELLE,10,0
JESAEL,0,5
JESAHEL,10,5
JESAIAH,0,5
JESHURUN,0,5
JESICA,10,0
JESIKA,5,0
JESMINE,5,0
JESNER,0,5
JESON,0,300
JESS,30,370
JESSALINE,5,0
JESSALYN,5,0
JESSALYNE,5,0
JESSALYNN,15,0
JESSANA,5,0
JESSE,25,1290
JESSEE,10,50
JESSEM,0,10
JESSEN,0,25
JESSEY,0,5
JESSI,0,140
JESSIA,5,0
JESSICA,71040,10
JESSICKA,20,0
JESSIE,5605,570
JESSIKA,850,0
JESSILIA,5,0
JESSIM,0,3725
JESSIME,0,60
JESSON,0,195
JESSONE,0,10
JESSY,4035,13245
JESSYCA,590,0
JESSYE,80,0
JESSYKA,65,0
JESSYM,0,490
JESTA,5,0
JESTON,0,10
JESUINA,5,0
JESULA,5,0
JESUS,0,2120
JESWIN,0,5
JETHRO,0,35
JEWEL,75,60
JEWELL,0,5
JEWELLE,5,0
JEWEN,0,15
JEYAN,0,10
JEYANA,5,0
JEYANN,0,5
JEYDAN,0,5
JEYDEN,0,150
JEYDENN,0,5
JEYLA,5,0
JEYLAN,0,55
JEYLANI,0,10
JEYLANN,0,25
JEYLON,0,5
JEYNA,60,0
JEYNAH,10,0
JEYSON,0,250
JEYWEN,0,10
JEZABEL,420,0
JEZABELLE,30,0
JEZEKAEL,0,10
JEZY,0,10
JHADE,70,0
JHADEN,0,5
JHAEL,0,5
JHANA,5,0
JHAYANN,0,10
JHAYDEN,0,10
JHOAN,0,15
JHON,0,155
JHONATAN,0,5
JHONATHAN,0,10
JHONNY,0,470
JHONY,0,45
JHOVANY,0,10
JIA,85,15
JIAN,0,50
JIANA,10,0
JIANI,0,10
JIANNI,0,15
JIANNY,0,20
JIANY,0,25
JIBRAIL,0,10
JIBRAN,0,15
JIBRANE,0,5
JIBREEL,0,5
JIBRIL,0,3730
JIBRILE,0,10
JIBRILL,0,5
JIBRYL,0,90
JIDENNA,0,5
JIED,0,5
JIHAD,170,535
JIHADE,40,0
JIHAN,285,85
JIHANE,3610,0
JIHANNE,170,0
JIHED,15,285
JIHEN,200,0
JIHENE,685,0
JIHENNE,10,0
JIL,195,25
JILALI,0,185
JILAN,0,100
JILANE,10,0
JILANI,0,195
JILDAZ,0,60
JILIAN,0,85
JILIANE,30,0
JILL,820,15
JILLALI,0,30
JILLIAN,80,215
JILLIANE,25,0
