prenom,n_f,n_m
ABDSSAMAD,0,10
ABDU,0,5
ABDUL,0,555
ABDUL-AZIZ,0,15
ABDUL-HALIM,0,5
ABDUL-HAMID,0,5
ABDUL-JALIL,0,5
ABDUL-KADIR,0,15
ABDUL-KARIM,0,10
ABDUL-MALIK,0,40
ABDUL-RAHMAN,0,40
ABDUL-SAMED,0,5
ABDUL-SAMET,0,20
ABDULAH,0,20
ABDULAI,0,5
ABDULAZIZ,0,30
ABDULBAKI,0,25
ABDULHAMID,0,65
ABDULHAMIT,0,5
ABDULKADIR,0,145
ABDULKARIM,0,20
ABDULKERIM,0,35
ABDULLA,0,35
ABDULLAH,0,1835
ABDULLAHI,0,10
ABDULMALIK,0,15
ABDULRAHMAN,0,85
ABDULSAMED,0,15
ABDULSAMET,0,20
ABDUR,0,10
ABDUR-RAHMAN,0,5
ABDURAHMAN,0,95
ABDURRAHIM,0,25
ABDURRAHMAN,0,260
ABDUSSAMED,0,30
ABED,0,620
ABEEHA,20,0
ABEER,25,0
ABEERA,5,0
ABEL,170,29395
ABELA,5,0
ABELARD,0,10
ABELARDO,0,5
ABELE,10,0
ABELIA,125,0
ABELINA,20,0
ABELINE,125,0
ABELINO,0,20
ABELLA,65,0
ABELLE,205,0
ABENEZER,0,5
ABES,0,40
ABESSE,0,5
ABHI,0,5
ABHIJOT,0,5
ABHINAV,0,5
ABI,105,15
ABIB,0,90
ABIBA,200,0
ABIBATA,5,0
ABIBATOU,90,0
ABID,0,135
ABIDA,40,0
ABIDIN,0,5
ABIDINE,0,5
ABIE,45,0
ABIEL,0,15
ABIGAEL,3095,30
ABIGAELE,5,0
ABIGAELLE,3550,0
ABIGAHEL,65,0
ABIGAIL,3085,5
ABIHA,45,0
ABIL,0,5
ABILASH,0,30
ABILIO,0,250
ABIMAEL,0,30
ABINA,15,0
ABINASH,0,55
ABINAYA,140,0
ABINESH,0,15
ABIOLA,0,10
ABIR,570,5
ABIRA,60,0
ABIRAM,0,5
ABIRAMI,20,0
ABIRAMY,15,0
ABIRE,30,0
