ags,name,land,lat,long
09572453,Dormitzer Forst,Bayern,49.57182303592579,11.110859585585429
09577168,Solnhofen,Bayern,48.897500246657145,11.001404753703286
09577159,Pfofeld,Bayern,49.11443066730458,10.860385657351223
09671127,Heimbuchenthal,Bayern,49.88468703026002,9.29633191575382
09671159,Westerngrund,Bayern,50.125732389539316,9.246593000121228
09671461,Wiesener Forst,Bayern,50.108361342213485,9.351709236301392
09672113,Bad Brückenau,Bayern,50.307049964914675,9.77664863753653
09672126,Geroda,Bayern,50.28851952631629,9.900456607502852
09673116,Bastheim,Bayern,50.39452409494228,10.177932534854333
09674133,Eltmann,Bayern,49.95892186577627,10.668723488180913
09675112,Albertshofen,Bayern,49.76994278495112,10.166114668756487
09676139,Miltenberg,Bayern,49.689361099321275,9.244993451458019
09676141,Mönchberg,Bayern,49.79213977473392,9.262991042314235
09677193,Urspringen,Bayern,49.90491293703173,9.678492028701449
09678186,Üchtelhausen,Bayern,50.12169148623332,10.28401393337478
09679156,Kürnach,Bayern,49.84108748167772,10.051089690264908
09679196,Uettingen,Bayern,49.78808603550339,9.730663870007236
09771144,Kühbach,Bayern,48.50594735811941,11.18083942274308
09772125,Bobingen,Bayern,48.272958909584524,10.78846497610246
09772168,Langenneufnach,Bayern,48.25996750873569,10.603032601822031
09772162,Klosterlechfeld,Bayern,48.15452082177968,10.836508638846846
09775115,Bellenberg,Bayern,48.25839187553204,10.096134850380082
09777147,Lechbruck am See,Bayern,47.692016557007896,10.783655770260893
09778173,Mindelheim,Bayern,48.054674372529924,10.4957344288487
09778216,Wiedergeltingen,Bayern,48.03514722977171,10.671923065229018
09778451,Ungerhauser Wald,Bayern,48.00116671513822,10.281267026133982
09779136,Ederheim,Bayern,48.79578971471315,10.464400523822338
09779206,Rögling,Bayern,48.84641054160346,10.947092667328123
09779149,Genderkingen,Bayern,48.7090616941855,10.868769811808656
09780145,Wertach,Bayern,47.584170699555855,10.412109652433603
10043114,Neunkirchen,Saarland,49.346690534991005,7.1929767293569125
10044115,Saarlouis,Saarland,49.31117403830748,6.747473067229152
10046114,Nohfelden,Saarland,49.57398485408532,7.084922591480485
12060198,Schorfheide,Brandenburg,52.90921488021529,13.59362040931678
12061405,Rietzneuendorf-Staakow,Brandenburg,52.023956039199476,13.67491184346718
12062134,Fichtwald,Brandenburg,51.72269916612229,13.45546323505584
12063240,Pessin,Brandenburg,52.6484643361337,12.667094462333216
12068353,Rheinsberg,Brandenburg,53.119282150497,12.841012751067428
12069270,Havelsee,Brandenburg,52.50338143645497,12.478402167629257
13071136,Siedenbrünzow,Mecklenburg-Vorpommern,53.887783079483015,13.144327173187277
13071037,Galenbeck,Mecklenburg-Vorpommern,53.64719869600452,13.674232818205173
13071122,Rechlin,Mecklenburg-Vorpommern,53.359458061523284,12.786107229436974
13071143,Stuer,Mecklenburg-Vorpommern,53.37834236262766,12.330342180367046
13071047,Grabowhöfe,Mecklenburg-Vorpommern,53.57965127890892,12.609709511612229
13071055,Groß Nemerow,Mecklenburg-Vorpommern,53.464957080772365,13.215490467248825
13071016,Breesen,Mecklenburg-Vorpommern,53.61923191411991,13.162459163085508
13071041,Gnevkow,Mecklenburg-Vorpommern,53.78384112729438,13.186453503580687
13072074,Neubukow,Mecklenburg-Vorpommern,54.025931415055624,11.662982417348635
13072012,Bentwisch,Mecklenburg-Vorpommern,54.12772089556249,12.235127093680338
13072102,Stubbendorf,Mecklenburg-Vorpommern,54.080422993818445,12.543091360723093
13072030,Elmenhorst/Lichtenhagen,Mecklenburg-Vorpommern,54.151424278646424,12.007846510979025
13073105,Zingst,Mecklenburg-Vorpommern,54.42931368817143,12.775000672644644
13073090,Sundhagen,Mecklenburg-Vorpommern,54.18846235010913,13.204515620000869
13074087,Wismar,Mecklenburg-Vorpommern,53.89837555158973,11.46275083140717
13074061,Perlin,Mecklenburg-Vorpommern,53.58924615650559,11.173826528218868
13075093,Mönkebude,Mecklenburg-Vorpommern,53.75523498109284,13.947821464806449
13075022,Butzow,Mecklenburg-Vorpommern,53.813678250039864,13.640297005285754
13075002,Alt Tellin,Mecklenburg-Vorpommern,53.83742716467246,13.236511938814667
13075117,Rossow,Mecklenburg-Vorpommern,53.47913126576646,14.12990301150215
13075033,Ferdinandshof,Mecklenburg-Vorpommern,53.670860445003,13.899738539750988
13075045,Hammer a.d.Uecker,Mecklenburg-Vorpommern,53.589271835681544,13.98810941312993
13075143,Wilhelmsburg,Mecklenburg-Vorpommern,53.644592533945904,13.808793608232225
13075150,Ziethen,Mecklenburg-Vorpommern,53.883016766522864,13.653787224245729
13076094,Malliß,Mecklenburg-Vorpommern,53.20890837325645,11.310214396030993
13076115,Prislich,Mecklenburg-Vorpommern,53.26782744555034,11.642550525304793
13076025,Crivitz,Mecklenburg-Vorpommern,53.590507888462135,11.65350912034022
